polity_id,figure_id,name,role,years,significance
grand_duchy_of_lithuania,mindaugas,Mindaugas,founder,1203/1263,First and only King of Lithuania; united the Baltic tribes; briefly converted to Christianity for political reasons; assassinated by rivals
grand_duchy_of_lithuania,algirdas,Algirdas,ruler,1296/1377,"Greatest territorial expansionist; pushed Lithuanian rule deep into Rus, reaching Crimea; a pagan ruling over a mostly Orthodox population"
grand_duchy_of_lithuania,vytautas_great,Vytautas the Great,ruler,1350/1430,Defeated the Teutonic Knights at Grunwald (1410) alongside Poland; greatest Lithuanian ruler; at his peak controlled more territory than any contemporary European monarch
golden_horde,batu_khan,Batu Khan,founder,1205/1255,Conquered Russia and Eastern Europe; founded the Golden Horde
golden_horde,ozbeg_khan,Ozbeg Khan,reformer,1282/1341,Converted the Golden Horde to Sunni Islam (1313); modern Uzbeks are named after him
mamluk_sultanate,baybars,Baybars,founder,1223/1277,Defeated the Mongols at Ain Jalut (1260); expelled the Crusaders
ilkhanate,hulagu_khan,Hulagu Khan,founder,1217/1265,"Sacked Baghdad (1258), ending the Abbasid Caliphate"
ilkhanate,ghazan_khan,Ghazan Khan,reformer,1271/1304,Converted to Sunni Islam (1295) — the ideological turning point that fully Persianized the Ilkhanate
yuan_dynasty,kublai_khan,Kublai Khan,founder,1215/1294,Founded the Yuan dynasty; first non-Han ruler to control all of China
ottoman_empire,osman_i,Osman I,founder,1258/1326,The dynasty is named after him (Osmanli)
ottoman_empire,mehmed_ii,Mehmed II (Fatih),ruler,1432/1481,Conquered Constantinople (1453); ended the Byzantine Empire; claimed Kayser-i Rum
ottoman_empire,suleiman_magnificent,Suleiman the Magnificent,ruler,1494/1566,Zenith of the Ottoman Empire; also the Lawgiver who reformed the legal system
ottoman_empire,ataturk,Mustafa Kemal Ataturk,last_ruler,1881/1938,Ended the Sultanate (1922) and Caliphate (1924); founded the Republic of Turkey
vijayanagara_empire,krishnadevaraya,Krishnadevaraya,ruler,1471/1529,Greatest Vijayanagara king; defeated all the Deccan sultanates; patronised Telugu literature — the golden age of Telugu culture; Hampi at its peak rivalled Rome in size
vijayanagara_empire,rama_raya,Rama Raya,ruler,?/1565,Manipulated the Deccan sultanates against each other until they united and destroyed him at Talikota; his death ended Vijayanagara as a great power
bahmani_sultanate,hasan_gangu_bahman,Hasan Gangu Bahman,founder,?/1358,A soldier of Afghan origin who revolted against Delhi and founded the Bahmani Sultanate; the first independent Muslim power in the Deccan
bahmani_sultanate,mahmud_gawan,Mahmud Gawan,administrator,1411/1481,Persian scholar-statesman who modernised the Bahmani state; established a college at Bidar; executed on false treason charges — his death accelerated the sultanate's collapse
ming_dynasty,zhu_yuanzhang,Zhu Yuanzhang (Hongwu Emperor),founder,1328/1398,Rose from orphaned peasant to emperor; expelled the Mongols
ming_dynasty,zheng_he,Zheng He,general,1371/1433,Led seven maritime expeditions reaching Arabia and East Africa; commanded fleets that dwarfed anything in Europe
ming_dynasty,yongle_emperor,Yongle Emperor,ruler,1360/1424,Built the Forbidden City; commissioned the Yongle Encyclopedia
north_yuan,dayan_khan,Dayan Khan,ruler,1464/1543,Reunified the eastern Mongols after a century of fragmentation; reorganised the Mongol tribes into six tumens; his descendants ruled the Mongols for generations
north_yuan,altan_khan,Altan Khan,ruler,1507/1582,Built Hohhot; established formal relations with Tibet — invited the Dalai Lama title and Tibetan Buddhism; the decisive conversion of Mongols to Buddhism
timurid_empire,timur,Timur (Tamerlane),founder,1336/1405,Last great nomadic conqueror; made Samarkand the most dazzling city of the age
timurid_empire,ulugh_beg,Ulugh Beg,ruler,1394/1449,Astronomer-king; built the Samarkand observatory
timurid_empire,babur_timurid,Babur,last_ruler,1483/1530,Last Timurid; lost Samarkand and conquered India instead; founded the Mughal Empire
joseon,sejong_great,Sejong the Great,ruler,1397/1450,Commissioned the creation of Hangul; oversaw a scientific and cultural golden age.
joseon,yi_sun_sin,Yi Sun-sin,military,1545/1598,Admiral who saved Joseon from Japanese invasion (Imjin War) through naval brilliance and the turtle ship.
kalmar_union,margaret_i_kalmar,Margaret I,founder,1353/1412,Created the union in 1397 at Kalmar; the only person to successfully govern all three Scandinavian kingdoms
habsburg_monarchy,charles_v_habsburg,Charles V,ruler,1500/1558,"The apex of Habsburg power — ruled Spain, HRE, Italy, and the Americas; presided over the Reformation; abdicated exhausted"
habsburg_monarchy,maria_theresa,Maria Theresa,ruler,1717/1780,Defended her inheritance against Frederick the Great; modernised the Habsburg state; mother of 16 children including Marie Antoinette and Joseph II
habsburg_monarchy,joseph_ii,Joseph II,ruler,1741/1790,"Enlightened despot; abolished serfdom, granted religious toleration, reformed the church and judiciary — too fast for his subjects; most reforms reversed after his death"
habsburg_monarchy,franz_joseph_i,Franz Joseph I,ruler,1830/1916,Ruled 68 years; the anchor of the old European order; his assassination's response to Archduke Franz Ferdinand's murder set off WWI
crimean_khanate,mengli_giray,Mengli Giray,founder,1445/1515,First fully independent Khan; entered Ottoman vassalage; defeated the Grand Duchy of Lithuania and sacked Kyiv
crimean_khanate,devlet_i_giray,Devlet I Giray,ruler,1512/1577,Sacked Moscow in 1571 — the last time a nomadic force sacked the Russian capital; demanded tribute from Ivan the Terrible
kazakh_khanate,janybek_khan,Janybek Khan,founder,/1480,Co-founder of the Kazakh Khanate with Giray; established Kazakh identity as distinct from Uzbeks
kazakh_khanate,ablai_khan,Ablai Khan,ruler,1711/1781,Greatest 18th-century Kazakh ruler; united the zhuz against the Dzungars; played Russia and China against each other
safavid_empire,shah_ismail_i,Shah Ismail I,founder,1487/1524,Forcibly converted Iran from Sunni to Shia Islam; created the civilizational identity that defines Iran today
safavid_empire,shah_abbas_i,Shah Abbas I (The Great),ruler,1571/1629,Rebuilt Isfahan; zenith of Safavid power and Persian art
mughal_empire,babur,Babur,founder,1483/1530,Timurid prince who conquered India; his Baburnama is one of the great autobiographies
mughal_empire,akbar,Akbar the Great,ruler,1542/1605,Consolidated the empire; policy of religious tolerance; abolished jizya
mughal_empire,shah_jahan,Shah Jahan,ruler,1592/1666,Built the Taj Mahal; apex of Mughal Persian-Indian cultural synthesis
mughal_empire,aurangzeb,Aurangzeb,last_ruler,1618/1707,Largest territorial extent; Sharia policies alienated Hindus; his death began the collapse
polish_lithuanian_commonwealth,sigismund_ii,Sigismund II Augustus,founder,1520/1572,Last Jagiellonian; sealed the Union of Lublin (1569) transforming the personal union into a real Commonwealth with shared parliament
polish_lithuanian_commonwealth,jan_sobieski,Jan III Sobieski,ruler,1629/1696,Led the relief of Vienna (1683) against the Ottoman siege — the largest cavalry charge in history; saved Christian Europe but Poland gained little from it
tokugawa_shogunate,tokugawa_ieyasu,Tokugawa Ieyasu,founder,1543/1616,Unified Japan after the Battle of Sekigahara (1600) and founded the Tokugawa Shogunate.
qing_dynasty,nurhaci,Nurhaci,founder,1559/1626,United the Jurchen tribes; created the Eight Banner military system
qing_dynasty,kangxi_emperor,Kangxi Emperor,ruler,1654/1722,Longest-reigning Chinese emperor (61 years); consolidated Qing rule
qing_dynasty,qianlong_emperor,Qianlong Emperor,ruler,1711/1799,Greatest territorial extent; commissioned the Siku Quanshu — the largest library in history
qing_dynasty,puyi,Puyi,last_ruler,1906/1967,Last Emperor of China; the final chapter of 2000 years of imperial rule
maratha_empire,shivaji_bhonsle,Shivaji Bhonsle,founder,1627/1680,Founded the Maratha kingdom through guerrilla warfare against Mughal and Bijapur forces; crowned Chhatrapati (sovereign) 1674; created the concept of Hindavi Swarajya (Hindu self-rule)
maratha_empire,bajirao_i,Bajirao I,ruler,1700/1740,Greatest Peshwa (prime minister); never lost a battle; expanded Maratha territory from the Deccan to Delhi; the dominant military mind of 18th-century India
kingdom_of_great_britain,walpole,Robert Walpole,administrator,1676/1745,First de facto Prime Minister of Great Britain; established the convention of cabinet government
russian_empire,peter_great,Peter the Great,founder,1672/1725,Transformed Russia from an isolated Muscovite tsardom into a European Great Power; founded St Petersburg; built the Russian navy; defeated Sweden at Poltava; declared the Russian Empire
russian_empire,catherine_great,Catherine the Great,ruler,1729/1796,Greatest Russian tsarina; conquered Crimea; participated in the three Polish partitions; corresponded with Voltaire and Diderot; patron of the Enlightenment while ruling autocratically
russian_empire,nicholas_ii,Nicholas II,ruler,1868/1918,Last tsar; stubborn defender of autocracy against all reform; Russia's defeats in WWI triggered the Revolutions of 1917; abdicated February 1917; executed with his family by Bolsheviks July 1918
sikh_empire,ranjit_singh,Ranjit Singh,founder,1780/1839,"The Lion of the Punjab; unified the Sikh misls at age 19; built a secular empire that welcomed Hindus, Muslims, and Europeans; kept the British at bay through diplomacy for 40 years"
sikh_empire,hari_singh_nalwa,Hari Singh Nalwa,military,1791/1837,Greatest Sikh general; conquered Peshawar and Kashmir; extended Sikh rule to the Khyber Pass — the first time India's northwest frontier was secured from Central Asian invasions
united_kingdom,wellington,Duke of Wellington,military,1769/1852,Defeated Napoleon at Waterloo; later Prime Minister
united_kingdom,victoria,Queen Victoria,ruler,1819/1901,Ruled 63 years; the British Empire reached its greatest extent under her reign
kingdom_of_egypt,muhammad_ali,Muhammad Ali,founder,1769/1849,The 'Father of Modern Egypt'; Albanian-born Ottoman officer who modernised Egypt's army and economy; his descendants ruled until 1952
kingdom_of_egypt,ismail_the_magnificent,Ismail the Magnificent,ruler,1830/1895,Built the Suez Canal (1869); modernised Cairo on Haussmann's Paris model; went bankrupt and sold the Canal shares to Britain — triggering the occupation
kingdom_of_egypt,farouk_i,Farouk I,ruler,1920/1965,Last king; his dissolute lifestyle and defeat in 1948 made him a symbol of Arab weakness; overthrown by the Free Officers (Naguib and Nasser) in July 1952
british_raj,viceroy_curzon,Viceroy Curzon,ruler,1859/1925,Viceroy 1899–1905; partition of Bengal inflamed Indian nationalism; built the Victoria Memorial; great imperial administrator who helped undermine the empire he loved
british_raj,gandhi,Gandhi,cultural,1869/1948,Developed satyagraha (non-violent resistance); Salt March (1930); forced British to negotiate; his assassination by a Hindu nationalist days after independence was the tragedy of Partition
british_raj,nehru,Nehru,founder,1889/1964,First Prime Minister of independent India; architect of non-alignment; built democratic institutions; the Nehru-Gandhi family dominated Indian politics for decades
kingdom_of_italy,garibaldi,Giuseppe Garibaldi,military,1807/1882,Military hero of unification; his Expedition of the Thousand conquered the Kingdom of the Two Sicilies; the most celebrated Italian of his century
kingdom_of_italy,cavour,Count Cavour,founder,1810/1861,Political architect of Italian unification; Prime Minister of Piedmont who manoeuvred France and Prussia into enabling Italian independence
kingdom_of_italy,mussolini,Benito Mussolini,ruler,1883/1945,"Invented Fascism; seized power 1922; allied with Hitler; Italy invaded Ethiopia and Greece; executed by partisans 1945 — the first Fascist dictator, killed by his own people"
empire_of_japan,meiji_emperor,Emperor Meiji,ruler,1852/1912,Presided over the modernization and transformation of Japan.
german_empire,bismarck,Otto von Bismarck,founder,1815/1898,"Iron Chancellor; unified Germany through three wars (Denmark, Austria, France); created the first modern welfare state; his alliance system kept the peace — until Wilhelm II dismissed him"
german_empire,wilhelm_ii,Wilhelm II,ruler,1859/1941,"Dismissed Bismarck; pursued Weltpolitik (global ambition); alienated Britain, France, and Russia simultaneously; led Germany into WWI; abdicated 1918"
republic_of_china,sun_yat_sen,Sun Yat-sen,founder,1866/1925,Father of modern China; founded the Kuomintang; his Three Principles of the People remain the ideological foundation of the ROC
republic_of_china,chiang_kai_shek,Chiang Kai-shek,ruler,1887/1975,United China under Nationalist rule (1928); led China through WWII; lost the Civil War to Mao; governed Taiwan for 26 years as a Cold War ally of the US
weimar_republic,ebert,Friedrich Ebert,founder,1871/1925,First President; Social Democrat who proclaimed the Republic; made the fateful deal with the military (Ebert-Groener Pact) that preserved the old officer corps — the army that would later undermine democracy
weimar_republic,stresemann,Gustav Stresemann,ruler,1878/1929,Chancellor then Foreign Minister; stabilised the currency; negotiated the Dawes Plan and Locarno Treaties; brought Germany back into international society; Nobel Peace Prize 1926; his death removed the Republic's ablest defender
czechoslovakia,masaryk_tg,Tomáš Garrigue Masaryk,founder,1850/1937,Philosopher-president who created Czechoslovakia through diplomacy at Versailles; a genuine liberal democrat who built Central Europe's most successful interwar state; his son Jan was defenestrated after the Communist coup
czechoslovakia,dubcek,Alexander Dubček,ruler,1921/1992,Led the Prague Spring — 'socialism with a human face'; removed by Soviets; worked as a forest ranger for 20 years; returned as Speaker of Parliament after the Velvet Revolution
czechoslovakia,havel,Václav Havel,ruler,1936/2011,Playwright turned dissident turned president; led the Velvet Revolution (1989); first post-communist President; the most admired European political figure of his generation
kingdom_of_iraq,faisal_i_iraq,Faisal I,founder,1885/1933,"Arab Revolt leader imposed as king of Iraq by Churchill at the Cairo Conference (1921); built a fragile national identity across Sunni, Shia, and Kurdish communities; died before his work was complete"
kingdom_of_iraq,nuri_al_said,Nuri al-Said,ruler,1888/1958,Pro-British Prime Minister who dominated Iraqi politics 1930–1958; lynched by a mob during the 1958 revolution alongside the royal family
republic_of_turkey,erdogan,Erdoğan,ruler,1954/null,"Prime Minister then President; longest-serving Turkish leader since Atatürk; built infrastructure and raised living standards; also jailed journalists, purged judges, and turned Turkey in an authoritarian direction after the 2016 coup attempt"
mongolian_peoples_republic,damdin_sukhbaatar,Damdin Sükhbaatar,founder,1893/1923,Revolutionary hero; led the Mongolian revolution with Soviet support; died young and possibly poisoned; national hero whose statue dominates Ulaanbaatar's central square
mongolian_peoples_republic,khorloogiin_choibalsan,Khorloogiin Choibalsan,ruler,1895/1952,"The 'Mongolian Stalin'; collectivised herds, destroyed Buddhism, executed tens of thousands; also the general who defeated Japan at Khalkhin Gol (1939) alongside Zhukov"
manchukuo,puyi_manchukuo,Puyi,ruler,1906/1967,Last Qing Emperor; child emperor from 1908; abdicated 1912; manipulated by the Japanese as puppet emperor of Manchukuo 1934–1945; later rehabilitated as a citizen of the PRC — his memoir became The Last Emperor
saudi_arabia,ibn_saud,Ibn Saud,founder,1875/1953,United Arabia through 30 years of warfare and diplomacy; signed the oil concession with Standard Oil (1933); the Aramco deal that created modern Saudi Arabia
saudi_arabia,faisal,Faisal,ruler,1906/1975,Modernised Saudi Arabia; led the 1973 Oil Embargo against the West for supporting Israel; gave women rights to education; assassinated by his nephew
saudi_arabia,mbs,MBS,ruler,1985/null,Crown Prince Mohammad bin Salman; Vision 2030 modernisation; allowed women to drive; but also the killing of Khashoggi (2018) and Yemen War — reformer and autocrat simultaneously
republic_of_india,ambedkar,Ambedkar,cultural,1891/1956,Dalit leader who drafted India's constitution; the most important architect of Indian democracy; converted to Buddhism to escape caste discrimination
republic_of_india,indira_gandhi,Indira Gandhi,ruler,1917/1984,India's first female Prime Minister; Green Revolution saved India from famine; Emergency rule (1975–77) suspended democracy; assassinated by her Sikh bodyguards after ordering attack on the Golden Temple
republic_of_india,modi,Modi,ruler,1950/null,"Prime Minister since 2014; Hindu nationalist politics; economic modernisation (GST, digital India); BJP Hindu majoritarianism raised concerns about minority rights"
pakistan,muhammad_ali_jinnah,Muhammad Ali Jinnah,founder,1876/1948,Founded Pakistan through sheer force of will and political skill; the Quaid-e-Azam ('Great Leader'); his secular vision for Pakistan was quickly displaced after his death
pakistan,zulfikar_ali_bhutto,Zulfikar Ali Bhutto,ruler,1928/1979,First elected Prime Minister; oversaw 1971 defeat and Bangladesh; launched nuclear programme; executed by Zia ul-Haq after a military coup — his death created the Bhutto political dynasty through his daughter Benazir
pakistan,benazir_bhutto,Benazir Bhutto,ruler,1953/2007,First female Prime Minister of a Muslim-majority country; twice elected and twice dismissed; assassinated at a political rally
peoples_republic_of_china,mao_zedong,Mao Zedong,founder,1893/1976,Founded the PRC; united China after a century of humiliation; but the Great Leap Forward and Cultural Revolution caused tens of millions of deaths
peoples_republic_of_china,deng_xiaoping,Deng Xiaoping,ruler,1904/1997,Opened China to market economics while maintaining party control; 'Socialism with Chinese characteristics'; his reforms lifted 800 million people out of poverty
peoples_republic_of_china,xi_jinping,Xi Jinping,ruler,1953/null,"General Secretary since 2012; abolished presidential term limits (2018); Belt and Road Initiative; escalating assertiveness on Taiwan, South China Sea, and Xinjiang"
republic_of_egypt,nasser,Nasser,founder,1918/1970,The greatest Arab nationalist leader; nationalised the Suez Canal; champion of pan-Arabism; the dominant figure of 20th-century Arab politics
republic_of_egypt,sadat,Sadat,ruler,1918/1981,Expelled Soviet advisors (1972); surprised Israel in the Yom Kippur War (1973); made peace at Camp David (1978); Nobel Peace Prize; assassinated by Islamic Jihad at a military parade
republic_of_egypt,sisi,Sisi,ruler,1954/null,Led the 2013 coup against Morsi; President since 2014; brutal suppression of Muslim Brotherhood; restored military's dominant role in Egyptian political economy
republic_of_iraq,saddam_hussein,Saddam Hussein,ruler,1937/2006,Ba'athist dictator 1979–2003; used chemical weapons on Kurds (Halabja 1988); invaded Iran then Kuwait; executed after US invasion — his fall unleashed sectarian war that produced ISIS
republic_of_iraq,ayatollah_sistani,Ayatollah Sistani,cultural,1930/null,Grand Ayatollah; Iraq's most authoritative Shia cleric; his fatwas mobilising Shia volunteers against ISIS (2014) saved Iraq from collapse; consistent advocate for democracy within Islamic framework
song_dynasty,zhao_kuangyin,Zhao Kuangyin (Emperor Taizu),founder,927/976,Former general who peacefully demilitarized the warlords; built China most sophisticated civilian bureaucracy
song_dynasty,su_shi,Su Shi (Su Dongpo),cultural,1037/1101,"Poet, painter, calligrapher, and statesman; the Renaissance Man of the Song dynasty"
